participant_id,block,trial_id,stimulus,condition,is_word,syllable_length,frequency_group,frequency,log_frequency,source_realword,correct_response,key_pressed,response_label,accuracy,rt
6,main,LDT3X4_016,trị,word,1,1,low,91,4.510859507,trị,word,f,word,1,0.394775
6,main,LDT3X4_028,nhâ cửa,pseudoword,0,2,control,NA,NA,nhà cửa,nonword,j,nonword,1,0.785552
6,main,LDT3X4_030,lủc,pseudoword,0,1,control,NA,NA,lực,nonword,j,nonword,1,0.589178
6,main,LDT3X4_105,học thủc,pseudoword,0,2,control,NA,NA,học thức,nonword,j,nonword,1,0.692347
6,main,LDT3X4_060,quan hệ vợ chọng,pseudoword,0,4,control,NA,NA,quan hệ vợ chồng,nonword,f,word,0,1.089506
6,main,LDT3X4_059,dân,word,1,1,mid,155,5.043425117,dân,word,f,word,1,0.425711
6,main,LDT3X4_046,hoạt động xã hội,word,1,4,mid,5,1.609437912,hoạt động xã hội,word,f,word,1,0.876953
6,main,LDT3X4_061,thủ công mỹ nghệ,word,1,4,mid,4,1.386294361,thủ công mỹ nghệ,word,f,word,1,0.739146
6,main,LDT3X4_098,sọng,pseudoword,0,1,control,NA,NA,sông,nonword,j,nonword,1,0.679391
6,main,LDT3X4_093,máy vi tính,word,1,3,mid,13,2.564949357,máy vi tính,word,f,word,1,0.617507
6,main,LDT3X4_031,máy nghe nhảc,pseudoword,0,3,control,NA,NA,máy nghe nhạc,nonword,j,nonword,1,0.968057
6,main,LDT3X4_083,giá,word,1,1,high,714,6.570882962,giá,word,f,word,1,0.415861
6,main,LDT3X4_008,điện thoại di động,word,1,4,high,14,2.63905733,điện thoại di động,word,f,word,1,0.54965
6,main,LDT3X4_055,máy điều hòa,word,1,3,low,10,2.302585093,máy điều hòa,word,f,word,1,0.606262
6,main,LDT3X4_070,chuyện tình cảm,word,1,3,high,48,3.871201011,chuyện tình cảm,word,f,word,1,0.730965
6,main,LDT3X4_037,đâ,pseudoword,0,1,control,NA,NA,đá,nonword,j,nonword,1,0.619564
6,main,LDT3X4_036,khoa học,word,1,2,mid,20,2.995732274,khoa học,word,f,word,1,0.596075
6,main,LDT3X4_022,trý,pseudoword,0,1,control,NA,NA,trị,nonword,f,word,0,0.685756
6,main,LDT3X4_101,nhà thiết kế,word,1,3,low,9,2.197224577,nhà thiết kế,word,f,word,1,0.770613
6,main,LDT3X4_048,diễn đàn quốc tế,word,1,4,low,4,1.386294361,diễn đàn quốc tế,word,f,word,1,0.887976
6,main,LDT3X4_032,công ty,word,1,2,high,135,4.905274778,công ty,word,f,word,1,0.431642
6,main,LDT3X4_042,mức giá,word,1,2,mid,16,2.772588722,mức giá,word,f,word,1,0.615838
6,main,LDT3X4_025,môi trường bẹn ngoài,pseudoword,0,4,control,NA,NA,môi trường bên ngoài,nonword,f,word,0,0.728481
6,main,LDT3X4_086,thị trường nội địa,word,1,4,mid,5,1.609437912,thị trường nội địa,word,f,word,1,0.584623
6,main,LDT3X4_095,cây,word,1,1,mid,281,5.638354669,cây,word,f,word,1,0.400955
6,main,LDT3X4_076,thị trườc nội địa,pseudoword,0,4,control,NA,NA,thị trường nội địa,nonword,f,word,0,1.304358
6,main,LDT3X4_106,mũ,word,1,1,low,47,3.850147602,mũ,word,f,word,1,0.461939
6,main,LDT3X4_108,tin,word,1,1,high,679,6.520621128,tin,word,f,word,1,0.290572
6,main,LDT3X4_120,xe đẩy,word,1,2,mid,14,2.63905733,xe đẩy,word,f,word,1,0.595065
6,main,LDT3X4_062,nướm đường,pseudoword,0,2,control,NA,NA,nước đường,nonword,j,nonword,1,0.643779
6,main,LDT3X4_066,lá đic lăng,pseudoword,0,3,control,NA,NA,lá đinh lăng,nonword,j,nonword,1,0.905913
6,main,LDT3X4_072,côc,pseudoword,0,1,control,NA,NA,cốc,nonword,j,nonword,1,0.601138
6,main,LDT3X4_002,núi,word,1,1,low,31,3.433987204,núi,word,f,word,1,0.592554
6,main,LDT3X4_038,sông,word,1,1,low,60,4.094344562,sông,word,f,word,1,0.550438
6,main,LDT3X4_119,nước,word,1,1,high,1464,7.288927695,nước,word,f,word,1,0.285
6,main,LDT3X4_056,nước mắm nguyên chất,word,1,4,mid,6,1.791759469,nước mắm nguyên chất,word,f,word,1,0.809627
6,main,LDT3X4_099,nước muối,word,1,2,low,11,2.397895273,nước muối,word,f,word,1,0.603942
6,main,LDT3X4_082,công nghiệp,word,1,2,high,27,3.295836866,công nghiệp,word,f,word,1,0.465793
6,main,LDT3X4_110,nhà thiết ké,pseudoword,0,3,control,NA,NA,nhà thiết kế,nonword,j,nonword,1,0.881789
6,main,LDT3X4_044,câu trả lời,word,1,3,high,30,3.401197382,câu trả lời,word,f,word,1,0.662566
6,main,LDT3X4_111,chủ cửa hàc,pseudoword,0,3,control,NA,NA,chủ cửa hàng,nonword,j,nonword,1,1.049634
6,main,LDT3X4_097,côm ty,pseudoword,0,2,control,NA,NA,công ty,nonword,j,nonword,1,0.779375
6,main,LDT3X4_003,cơ só sản xuất,pseudoword,0,4,control,NA,NA,cơ sở sản xuất,nonword,j,nonword,1,1.119779
6,main,LDT3X4_104,văn hóa ẩm thực,word,1,4,low,3,1.098612289,văn hóa ẩm thực,word,f,word,1,0.616542
6,main,LDT3X4_029,máy nước nóng,word,1,3,low,6,1.791759469,máy nước nóng,word,f,word,1,0.772408
6,main,LDT3X4_067,vật,word,1,1,mid,252,5.529429088,vật,word,f,word,1,0.30556
6,main,LDT3X4_091,mẹ chồng nàng hâu,pseudoword,0,4,control,NA,NA,mẹ chồng nàng dâu,nonword,j,nonword,1,1.066782
6,main,LDT3X4_092,gió,word,1,1,mid,118,4.770684624,gió,word,f,word,1,0.480298
6,main,LDT3X4_084,hơi nướm,pseudoword,0,2,control,NA,NA,hơi nước,nonword,j,nonword,1,0.834701
6,main,LDT3X4_069,nước vo gạo,word,1,3,high,28,3.33220451,nước vo gạo,word,f,word,1,0.720259
6,main,LDT3X4_100,luật pháp,word,1,2,mid,26,3.258096538,luật pháp,word,f,word,1,0.484379
6,main,LDT3X4_023,địm kiến xã hội,pseudoword,0,4,control,NA,NA,định kiến xã hội,nonword,j,nonword,1,1.002731
6,main,LDT3X4_033,đồng nghiệp,word,1,2,high,45,3.80666249,đồng nghiệp,word,f,word,1,0.477086
6,main,LDT3X4_043,đất,word,1,1,mid,138,4.927253685,đất,word,f,word,1,0.583522
6,main,LDT3X4_027,hình chữ nhật,word,1,3,high,20,2.995732274,hình chữ nhật,word,f,word,1,0.632198
6,main,LDT3X4_081,nghiên cứu khoa học,word,1,4,low,3,1.098612289,nghiên cứu khoa học,word,f,word,1,0.760561
6,main,LDT3X4_071,đồ nội thất,word,1,3,mid,18,2.890371758,đồ nội thất,word,f,word,1,1.218752
6,main,LDT3X4_077,cửa hàc,pseudoword,0,2,control,NA,NA,cửa hàng,nonword,j,nonword,1,0.875487
6,main,LDT3X4_015,hệ thống,word,1,2,high,37,3.610917913,hệ thống,word,f,word,1,0.530037
6,main,LDT3X4_053,loại sản phám,pseudoword,0,3,control,NA,NA,loại sản phẩm,nonword,j,nonword,1,1.012405
6,main,LDT3X4_045,hónh phúc gia đình,pseudoword,0,4,control,NA,NA,hạnh phúc gia đình,nonword,j,nonword,1,1.139011
6,main,LDT3X4_026,lá,word,1,1,high,443,6.09356977,lá,word,f,word,1,0.35644
6,main,LDT3X4_012,nước uống thé thao,pseudoword,0,4,control,NA,NA,nước uống thể thao,nonword,j,nonword,1,1.265813
6,main,LDT3X4_058,cây xanh,word,1,2,low,12,2.48490665,cây xanh,word,f,word,1,0.701319
6,main,LDT3X4_019,cốc,word,1,1,low,19,2.944438979,cốc,word,f,word,1,0.604975
6,main,LDT3X4_052,nướp,pseudoword,0,1,control,NA,NA,nước,nonword,j,nonword,1,0.640253
6,main,LDT3X4_039,hàc,pseudoword,0,1,control,NA,NA,hàng,nonword,j,nonword,1,0.609385
6,main,LDT3X4_107,kiến trúc sủ,pseudoword,0,3,control,NA,NA,kiến trúc sư,nonword,j,nonword,1,1.083054
6,main,LDT3X4_001,bệc viện,pseudoword,0,2,control,NA,NA,bệnh viện,nonword,j,nonword,1,0.740294
6,main,LDT3X4_094,mái ấm gia đình,word,1,4,high,16,2.772588722,mái ấm gia đình,word,f,word,1,0.516081
6,main,LDT3X4_049,văn hóa ẩm thủc,pseudoword,0,4,control,NA,NA,văn hóa ẩm thực,nonword,j,nonword,1,0.955675
6,main,LDT3X4_079,định kiến xã hội,word,1,4,low,3,1.098612289,định kiến xã hội,word,f,word,1,0.732051
6,main,LDT3X4_024,nước xọt,pseudoword,0,2,control,NA,NA,nước xốt,nonword,j,nonword,1,1.068817
6,main,LDT3X4_005,loại sản phẩm,word,1,3,low,10,2.302585093,loại sản phẩm,word,f,word,1,0.617659
6,main,LDT3X4_054,rúng,pseudoword,0,1,control,NA,NA,rừng,nonword,j,nonword,1,0.717355
6,main,LDT3X4_115,biệc pháp,pseudoword,0,2,control,NA,NA,biện pháp,nonword,j,nonword,1,0.78192
6,main,LDT3X4_020,lực,word,1,1,mid,199,5.293304825,lực,word,f,word,1,0.461814
6,main,LDT3X4_014,máy đo huyết áp,word,1,4,low,3,1.098612289,máy đo huyết áp,word,f,word,1,0.732747
6,main,LDT3X4_075,hơi nước,word,1,2,low,11,2.397895273,hơi nước,word,f,word,1,0.624353
6,main,LDT3X4_034,vản hóa,pseudoword,0,2,control,NA,NA,văn hóa,nonword,j,nonword,1,0.705799
6,main,LDT3X4_010,hệ thóng,pseudoword,0,2,control,NA,NA,hệ thống,nonword,j,nonword,1,0.812349
6,main,LDT3X4_089,lâ,pseudoword,0,1,control,NA,NA,lá,nonword,f,word,0,0.68516
6,main,LDT3X4_118,giám đóc công ty,pseudoword,0,4,control,NA,NA,giám đốc công ty,nonword,j,nonword,1,1.282221
6,main,LDT3X4_047,mái nhà,word,1,2,low,14,2.63905733,mái nhà,word,f,word,1,0.630228
6,main,LDT3X4_018,giáo dục,word,1,2,mid,23,3.135494216,giáo dục,word,f,word,1,0.583115
6,main,LDT3X4_009,tâm lỵ học,pseudoword,0,3,control,NA,NA,tâm lý học,nonword,f,word,0,0.941288
6,main,LDT3X4_064,nước xốt,word,1,2,low,12,2.48490665,nước xốt,word,f,word,1,0.713813
6,main,LDT3X4_021,máy hủt bụi,pseudoword,0,3,control,NA,NA,máy hút bụi,nonword,j,nonword,1,0.772212
6,main,LDT3X4_112,chuyên viên tư vấn,word,1,4,high,7,1.945910149,chuyên viên tư vấn,word,f,word,1,0.624362
6,main,LDT3X4_080,loại thực phẩm,word,1,3,mid,13,2.564949357,loại thực phẩm,word,f,word,1,0.869742
6,main,LDT3X4_087,cuộc hôn nhâc,pseudoword,0,3,control,NA,NA,cuộc hôn nhân,nonword,j,nonword,1,1.172813
6,main,LDT3X4_035,nước uống thể thao,word,1,4,mid,4,1.386294361,nước uống thể thao,word,f,word,1,0.632347
6,main,LDT3X4_096,nồi ạp suất,pseudoword,0,3,control,NA,NA,nồi áp suất,nonword,j,nonword,1,0.844394
6,main,LDT3X4_117,cơ sở sản xuất,word,1,4,low,3,1.098612289,cơ sở sản xuất,word,f,word,1,0.875862
6,main,LDT3X4_004,trính độ học vấn,pseudoword,0,4,control,NA,NA,trình độ học vấn,nonword,f,word,0,1.538048
6,main,LDT3X4_013,kiến trúc sư,word,1,3,high,23,3.135494216,kiến trúc sư,word,f,word,1,0.597753
6,main,LDT3X4_068,thực phẩm chế biến,word,1,4,high,7,1.945910149,thực phẩm chế biến,word,f,word,1,0.65169
6,main,LDT3X4_109,giá thàc,pseudoword,0,2,control,NA,NA,giá thành,nonword,j,nonword,1,0.699384
6,main,LDT3X4_085,nước cốt dừa,word,1,3,mid,18,2.890371758,nước cốt dừa,word,f,word,1,0.940868
6,main,LDT3X4_090,văn hóa,word,1,2,high,28,3.33220451,văn hóa,word,f,word,1,0.386598
6,main,LDT3X4_102,chủ cửa hàng,word,1,3,low,6,1.791759469,chủ cửa hàng,word,f,word,1,0.794226
6,main,LDT3X4_011,sức hấp dẫn,word,1,3,mid,15,2.708050201,sức hấp dẫn,word,f,word,1,0.285
6,main,LDT3X4_057,tình yêu đích thực,word,1,4,high,23,3.135494216,tình yêu đích thực,word,f,word,1,0.559203
6,main,LDT3X4_073,nước hoa hồng,word,1,3,low,8,2.079441542,nước hoa hồng,word,f,word,1,0.622197
6,main,LDT3X4_116,hạnh phúc gia đình,word,1,4,high,44,3.784189634,hạnh phúc gia đình,word,f,word,1,0.672443
6,main,LDT3X4_114,mối quan hệ,word,1,3,high,171,5.141663557,mối quan hệ,word,f,word,1,0.360197
6,main,LDT3X4_006,đèn,word,1,1,high,306,5.723585102,đèn,word,f,word,1,0.393664
